Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
Queso Sauce,55,4.2g,2.4g,0g,13mg,220.4mg,1.6g,0.1g,1g,2.5g
Roasted Squash Salad w/Pepitas,108,6.1g,1.9g,0g,4.9mg,106.7mg,10.5g,1.9g,2.5g,3.6g
Warm Charred Corn Salsa,24,0.8g,0.1g,0g,0mg,29.2mg,4.2g,0.5g,1.5g,0.7g
Potato & Cheese Pierogi,189,3.7g,1.4g,0g,10.4mg,462.2mg,32.9g,0.8g,0.8g,5.5g
Sauerkraut Topping,12,0g,0g,0g,0mg,472.5mg,2.4g,2.4g,0g,0g
Sauteed Cabbage,41,1.7g,0.2g,0g,0mg,225.7mg,6.2g,2.2g,3g,1.2g
Sour Cream,61,5.1g,3.5g,0g,15.2mg,15.2mg,1g,0g,0g,1g
Chicken Souvlakia,85,3.2g,0.7g,0g,48.4mg,117.9mg,3.2g,0.5g,0.4g,10.7g
Moroccan Roasted Carrots,39,0.5g,0.1g,0g,0mg,120.9mg,8.1g,2.2g,5.9g,1.1g
Blackened Tuna w/Avocado Salsa,135,6.3g,0.7g,0g,39mg,98.7mg,2.4g,1.2g,0.6g,16.6g
Mid East Roasted Vegetables,32,1.8g,0.3g,0g,0mg,58.2mg,3.6g,1g,1.9g,0.8g
Brussel Sprouts Tops,41,0.6g,0.1g,0g,0mg,108.4mg,7.9g,3.3g,1.9g,3g
Mexican Rice,40,0.6g,0g,0g,0mg,31.7mg,7.5g,0.4g,0.3g,0.7g
Zucchini & Corn,72,2.9g,0.5g,0g,0mg,172.9mg,10.8g,1.1g,1.8g,1.6g
Yellow Mustard,0,0g,0g,0g,0mg,170.4mg,0g,0g,0g,0g
Baked French Toast w/Banana Maple Syrup and Ricotta,222,5g,2.4g,0g,40.3mg,209mg,39.4g,0.8g,21.3g,5.7g
Fried Plantain,68,3.6g,0.7g,0g,0mg,125mg,8.8g,0.2g,8.1g,0.3g
Mediterranean Breakfast Bowl,151,11.7g,2.8g,0g,0mg,302.6mg,11.1g,2.5g,1g,4.1g
O'Brien Potatoes,72,2.2g,0.2g,0g,0mg,14.5mg,12g,0.2g,1.2g,1.5g
Roasted Tomatoes,22,2.1g,0.3g,0g,0mg,11.7mg,0.9g,0.2g,0.5g,0.2g
Sliced Kielbasa,170,14g,8g,0g,29.9mg,528.6mg,2g,0g,1g,8g
Hazelnut Chocolate Coffeecake,149,9.5g,1g,0g,20.7mg,76.4mg,13.9g,1g,7.4g,2.5g
Pumpkin Danish,155,8g,5g,0g,27.6mg,165.4mg,17.5g,0.5g,5.5g,3g
Congee Toppings (Peanuts),86,6.3g,0.9g,0g,0mg,60.7mg,6.8g,0.8g,1.2g,4g
Huevos Rancheros,210,14.1g,6.7g,0g,65.8mg,410.3mg,11.3g,1.3g,1.9g,8.7g
Chana Masala Cauliflower Soup,94,3.7g,3.1g,0g,0mg,387.2mg,13.7g,2.5g,2.5g,1.9g
Santa Fe Tortilla Soup,56,0.9g,0g,0g,0mg,449.6mg,11.2g,1.9g,1.9g,1.9g
Kelp Burger,200,12g,12g,0g,0mg,360mg,13g,5g,0g,11g
Lemon Pepper Chicken Thigh,86,2.9g,0.8g,0g,67.2mg,323mg,0g,0g,0g,14g
Roasted Cauliflower,34,1.8g,0.3g,0g,0mg,124.8mg,4.1g,1.6g,1.6g,1.6g
Lemon Blondie,181,7.7g,0.8g,0g,22.4mg,80mg,26.7g,0.4g,19g,1.9g
M&M Chocolate Chip Cookie,190,8g,4g,0g,15mg,105mg,22g,1g,16g,2g
"Bun Rieu-Vietnamese Noodle Bowl (Pork, Crab, Shrimp)",415,9.9g,3.3g,0g,88.2mg,1588.5mg,64.4g,0.7g,3.5g,14.9g
Mei Fun Noodles,202,3.1g,0.5g,0g,38.7mg,349mg,38.2g,1.6g,1.1g,3.3g
Soy Braised Pork with Eggs,105,5.8g,1.5g,0.1g,102.8mg,811.9mg,6.7g,0.5g,3.3g,6.8g
Spicy Garlic Tofu,184,10g,1.8g,0.1g,0.3mg,741mg,11.2g,2.5g,4.8g,13.2g
African Peri Peri Chicken,155,7.1g,1.5g,0g,95.9mg,236.3mg,1.4g,0.2g,0.2g,20.3g
Chickpea & Cauliflower Palava,99,2g,0.1g,0g,0mg,273.5mg,16g,3.6g,3.1g,5.2g
Chickpea Salad w/Teardrop Peppers & Artichoke Hearts,109,7.4g,1.2g,0g,2mg,150.5mg,8.7g,1.6g,2.6g,3.2g
Jollof (West African Tomato Rice),99,1.7g,0.1g,0g,0mg,164.8mg,17.8g,0.9g,0.8g,1.7g
Sweet Onion Salad,24,0.1g,0g,0g,0mg,11.3mg,5.5g,1.2g,3.3g,0.5g
Garlic Parmesan Cream Sauce,117,10.2g,4.2g,0.1g,20.9mg,239.1mg,3.5g,0g,1.8g,2.6g
Garlicy Potatoes w/Harissa,103,4.2g,0.6g,0g,0mg,106.1mg,14.7g,0.3g,0.1g,1.9g
Margherita Eggplant w/Pesto,136,11g,3g,0g,13.6mg,257mg,5g,1.8g,2.3g,4.8g
Spaghetti,148,0.8g,0g,0g,0mg,8.1mg,31.2g,1.6g,0.8g,6.2g
Baked Pakora,45,0.5g,0g,0g,0mg,201.6mg,8.1g,2g,1g,2g
Channa Masala,85,2.1g,0g,0g,0mg,187.1mg,12.8g,3.4g,2.6g,4.3g
Coriander Chutney,14,0.9g,0g,0g,0mg,155.5mg,0.9g,0g,0g,0g
Cucumber & Yogurt Raita,12,0.4g,0.3g,0g,1mg,24.2mg,1.2g,0.1g,0.7g,0.9g
Cumin Spinach,51,3.4g,0.2g,0g,0mg,286.8mg,3.4g,0.1g,0.1g,1.9g
Dal Tadka,136,4.3g,0.3g,0g,0mg,253.2mg,17.4g,3.2g,0.8g,6.1g
Fresh Red Onions,4,0g,0g,0g,0mg,0.1mg,0.8g,0.2g,0.5g,0.1g
