Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
California Roll with Brown Rice,221,5.9g,0.6g,0g,3.3mg,338.3mg,36.8g,2.5g,9.8g,7g
Canadian Bacon,31,0.7g,0.3g,0g,13.7mg,214.6mg,0.4g,0g,0.3g,5.8g
"Cannellini Bean Salad w/Pepper, Rstd Garlic",83,4.6g,0.7g,0g,2.1mg,186mg,8.5g,1.5g,1.8g,3.1g
Cannellini Bean Salad w/Red Onion & Olives,90,5.9g,0.6g,0g,0mg,361.5mg,8.4g,2.7g,1.2g,2.5g
Cannellini Bean Salad w/Roasted Tomato,69,2.5g,0.7g,0g,3.3mg,321mg,8.5g,2.6g,1.2g,4.6g
Cantonese BBQ Pork Ribs,151,10.9g,4.2g,0g,38.5mg,153.7mg,4.6g,0.1g,3.9g,8.3g
Cantonese Beef Stew,96,4.7g,1.5g,0g,25.7mg,170.3mg,4.6g,0.7g,0.7g,8.8g
Caprese Grilled Cheese,268,12.6g,4.8g,0g,25.8mg,462.7mg,29g,0.6g,2.7g,11g
Caprese Pasta Salad,116,7.1g,2.1g,0g,10.7mg,74.4mg,6.9g,1.2g,0.6g,4.5g
Caprese Sandwich,646,35.9g,9.1g,0.1g,45.7mg,1016.5mg,58.4g,0.7g,2.2g,22.9g
Caprese Stuffed Mushrooms,87,6.6g,1g,0g,3.3mg,227.5mg,4.1g,1.1g,1.5g,2.8g
Caramelized Carrots w/Paprika & Honey,44,0.7g,0.1g,0g,0mg,143mg,9.5g,2.3g,5.1g,0.8g
Carnitas Nachos,873,57.7g,19.5g,0.1g,137.4mg,1041.7mg,52.8g,3.3g,0.2g,40.3g
Carnitas Pork Burrito,479,29.9g,7.4g,0.2g,61.7mg,937.2mg,31.4g,2.4g,0.5g,22.4g
Carnitas Quesadilla,814,57.3g,22.6g,0.2g,152.8mg,1484mg,34.4g,2.4g,0.5g,43.6g
Carnitas Rice Bowl,461,25.3g,5.1g,0.2g,61.7mg,519.4mg,37.7g,1.4g,0.3g,20.7g
Carnitas Salad,305,24.7g,5g,0.2g,61.7mg,526.7mg,4g,1.3g,1.8g,18.1g
